9/05/2017 13:10:08 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:12:18 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:13:27 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:13:42 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:16:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:16:15 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:16:24 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:35:44 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:36:06 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:37:32 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 09:17:57 AM - Upgrade Script Results: Successfully upgraded script results.
9/06/2017 09:21:25 AM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 10:46:17 AM - Upgrade Script Results: Successfully upgraded script results.
9/06/2017 12:50:38 PM - Upgrade Script Results: Successfully upgraded script results.
9/06/2017 13:29:19 PM - Launch Browser: IE version 8.0.7601.17514
9/06/2017 13:33:32 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:22:49 PM - Launch Browser: IE version 8.0.7601.17514
9/06/2017 14:27:20 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:28:57 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:30:00 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:30:11 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:30:25 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:31:40 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:35:09 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:35:34 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 14:35:57 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:00:38 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:22:16 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:31:25 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:33:51 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:38:46 PM - Launch Browser: IE version 8.0.7601.17514
9/06/2017 15:43:28 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:48:35 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:48:49 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:49:55 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:54:15 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:54:30 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 15:55:04 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:01:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:05:48 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:10:53 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:20:22 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:20:30 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:40:02 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:41:51 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:42:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:42:27 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:42:38 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:42:58 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:57:22 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 16:57:31 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:07:36 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:08:17 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:12:04 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:12:22 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:22:05 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:22:25 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:28:30 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 17:39:06 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 18:04:51 PM - Upgrade Script Results: Successfully upgraded script results.
9/06/2017 18:05:56 PM - Save Script: Version 12.5.0.3.1012 User oats
9/06/2017 18:11:36 PM - Save Script: Version 12.5.0.3.1012 User oats
9/07/2017 09:23:56 AM - Upgrade Script Results: Successfully upgraded script results.
9/07/2017 11:57:21 AM - Save Script: Version 12.5.0.3.1012 User oats
