10/06/2017 12:39:49 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:41:37 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:50:00 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:50:37 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:50:57 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:51:57 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 13:07:11 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 14:52:06 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 14:52:32 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 14:55:08 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 14:55:36 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 15:31:38 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:06:02 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:27:44 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:40:16 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:43:04 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:54:33 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:54:48 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:55:03 PM - Upgrade Script Results: Successfully upgraded script results.
10/06/2017 16:58:55 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:59:22 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 16:59:46 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 17:03:24 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 17:05:18 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 17:25:22 PM - Upgrade Script Results: Successfully upgraded script results.
10/06/2017 18:36:12 PM - Upgrade Script Results: Successfully upgraded script results.
10/06/2017 18:48:36 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 19:02:00 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 19:23:11 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 19:24:36 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 20:11:57 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 21:52:48 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 22:29:36 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 22:32:19 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 22:32:35 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 22:34:04 PM - Save Script: Version 12.5.0.3.1012 User oats
10/07/2017 13:14:56 PM - Upgrade Script Results: Successfully upgraded script results.
10/09/2017 10:09:44 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:13:00 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:14:47 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:22:53 AM - Upgrade Script Results: Successfully upgraded script results.
10/09/2017 11:07:53 AM - Launch Browser: IE version 9.10.9200.17609
10/09/2017 11:10:25 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:11:04 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:15:38 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:16:59 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:17:20 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:29:46 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:38:11 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:38:18 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:38:59 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:46:07 PM - Upgrade Script Results: Successfully upgraded script results.
10/10/2017 09:37:52 AM - Save Script: Version 12.5.0.3.1012 User oats
10/10/2017 09:38:11 AM - Save Script: Version 12.5.0.3.1012 User oats
10/10/2017 10:04:43 AM - Save Script: Version 12.5.0.3.1012 User oats
10/10/2017 10:13:48 AM - Save Script: Version 12.5.0.3.1012 User oats
10/10/2017 10:22:06 AM - Launch Browser: IE version 9.10.9200.17609
10/10/2017 10:23:04 AM - Save Script: Version 12.5.0.3.1012 User oats
10/10/2017 10:26:04 AM - Save Script: Version 12.5.0.3.1012 User oats
10/16/2017 10:10:45 AM - Upgrade Script Results: Successfully upgraded script results.
10/16/2017 13:59:54 PM - Upgrade Script Results: Successfully upgraded script results.
